title,price,availability,rating,product_url,category,price_gbp
A Light in the Attic,Â£51.77,In stock,3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Poetry,51.77
Tipping the Velvet,Â£53.74,In stock,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Historical Fiction,53.74
Soumission,Â£50.10,In stock,1,https://books.toscrape.com/catalogue/soumission_998/index.html,Fiction,50.1
Sharp Objects,Â£47.82,In stock,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Mystery,47.82
Sapiens: A Brief History of Humankind,Â£54.23,In stock,5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,History,54.23
The Requiem Red,Â£22.65,In stock,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,Young Adult,22.65
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Business,33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Default,17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Default,22.6
The Black Maria,Â£52.15,In stock,1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,Poetry,52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Default,13.99
Shakespeare's Sonnets,Â£20.66,In stock,4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Poetry,20.66
Set Me Free,Â£17.46,In stock,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Young Adult,17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art,52.29
Rip it Up and Start Again,Â£35.02,In stock,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Music,35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Music,57.25
Olio,Â£23.88,In stock,1,https://books.toscrape.com/catalogue/olio_984/index.html,Poetry,23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock,1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Science Fiction,37.59
